,full_name,customer_id,branch_id,branch,birthdate,father_name,loan_superviser_id,bc_id,bc_serial,postal_code,phone_number,cell_phone
2160,John Aguirre,53219681,37292,Akers,1990-04-14,Henry,2597,2757740,79l912800,8572349501,034-77675436,09927560099
2161,Bettie Alston,39660107,37918,Skeels,2011-04-01,Rupert,18303,22,43w183132,2363097312,074-77973681,09578578077
2162,Hector Marshall,75211965,44407,Glenn,2003-11-10,Morris,80738,85409457,35h218854,4223301947,041-00119003,09779624823
2163,Heather Seward,72591528,72000,Farrington,1997-04-23,Larry,35551,89621502,13s184641,7893408369,031-99211589,09801844859
2164,Barbara Dillard,24603845,95095,Cook,1994-12-09,Herman,84839,360292,36m141962,2187838614,017-33281685,09608902013
2165,Ruth Weber,10204458,97916,Senn,1980-09-21,Frederick,54682,59000510,07g504474,4057257943,045-00174110,09627056216
2166,Harold Broussard,31006353,76657,Honokaupu,1914-09-02,Stanley,6775,12532539945,57e194053,7747534782,044-55508598,09034554883
2167,Nicholas Holmes,34736898,47264,Downing,1982-10-19,Matthew,26455,570,47z212816,0144868804,051-88854978,09686000047
2168,Mildred Halley,97004383,56754,Orozco,1914-10-08,Charles,64185,24,94r297450,6057459558,086-55359466,09126625465
2169,Scott Albert,69459125,50292,Heath,1993-06-25,Harry,32792,4170770,76e248137,3915347771,011-77286821,09337522924
2170,Charles Corrigan,51217479,71802,Hawke,1907-03-09,Martin,63951,2896,40z718944,5071217682,084-44982728,09938651628
2171,William Hunt,91280355,51344,Gutierrez,1902-12-04,Carlos,85691,388,08c782245,1958649094,051-22475455,09962062167
2172,Sanford Parson,89095157,14060,Thomas,1962-06-21,Thomas,63191,522391313,48f370391,0176877544,071-55048810,09238846277
2173,Scott Payne,74581594,33427,Taylor,1930-06-04,James,59224,6349156,73w556032,3075616189,086-99834558,09375977294
2174,Carolina Morales,14894731,46604,Wagner,1983-12-20,Brian,51910,94677226,32z987494,9750978496,021-11737792,09714081113
2175,Sandy Butler,60335524,13617,Swenson,1998-05-22,Albert,39590,11804471985,64v321891,4613647205,041-00130439,09835561259
2176,Jerry Palladino,93525004,47155,Goff,1973-03-20,Robert,89558,6055181616,50s308614,1298414696,056-66215440,09385592759
2177,Cheryl Young,48564821,74948,Dragon,1903-11-14,Albert,29832,9279053143,80y842038,6546717740,028-88616871,09134823653
2178,Paulette Chapman,69790746,69026,Leblanc,1978-05-16,James,1721,4,39s632804,5653474618,061-11933381,09336623141
2179,Samuel Deloria,25727710,40733,Carter,1927-01-27,Anthony,58619,31946675201,24g156808,4862910543,025-33711658,09313889087
2180,Michele Saraiva,36568002,4287,Farina,1944-02-12,Vincent,5750,8451083,08a509745,6975530241,017-33669291,09229421230
2181,Brenda Holsomback,99962493,93091,Cos,1922-03-14,Daniel,47745,628936,59s782380,7312276854,034-22241466,09348431573
2182,Claudette Picard,36364929,44860,Labarbera,1941-09-11,Francisco,6972,6,53e056747,4358149204,023-00201160,09734593496
2183,Wendy Ley,71006928,80063,Rosado,1952-01-19,Anthony,78348,072,44d285667,2335469439,044-22359483,09209384263
2184,Roberta Tarlton,45951959,43669,Soland,1990-07-24,Jeffrey,96600,4088,80w890276,1476074663,021-88325717,09196054195
2185,Kenneth Rogers,33262003,93990,Frank,1990-01-08,William,75899,36209694,62u221728,2775932879,041-33902460,09226979721
2186,Barbara Piccinini,67297479,9138,Ambriz,1964-11-11,Frank,17167,750,37s314925,3132298740,026-33336612,09474318007
2187,Ian Younger,85592577,6949,Alston,2007-11-21,Wesley,91885,252,62u920235,6264483396,045-11820754,09123948367
2188,James Nieto,38157927,58944,Ellis,1910-08-09,Robert,72124,25559,02e005483,7020981666,083-11113517,09029728221
2189,Charlotte Hebert,82416756,21572,Hooks,1910-06-09,Charles,57551,15,65y849675,6196683387,011-88990386,09585162411
2190,Trent Dyer,80936507,21786,Moore,1964-02-14,Thomas,61940,62288,30s957628,1925136397,025-00043345,09307796588
2191,Felicia Luhman,72074443,96395,Crock,1934-01-17,Jimmy,18095,84596,84k229897,2052011784,061-44043399,09684835641
2192,Robert Clayton,31281142,5082,Robinson,2005-02-18,Paul,77746,07814,35u152977,4208771968,021-55486796,09816973488
2193,Judy Kieffer,13891859,45910,Moore,1951-10-12,Jonathan,47883,9062,84o615463,7995065042,044-22614390,09492898408
2194,Barbara Peters,34903260,49781,Munoz,1928-04-28,Norbert,29926,48524,00p368337,6141003630,011-22443642,09968753366
2195,Adrian Carey,72213461,9665,Brown,1922-07-17,Matthew,60331,93566129757,58r251172,0224203215,025-22621107,09038101309
2196,Frederick Aguas,48383086,65699,Fox,1963-03-19,Harold,14710,9188443975,70r854075,2026834523,045-99597661,09244159262
2197,Damion Panther,86706832,79146,Hershey,1922-07-17,Charles,82930,5,82r575924,3677042784,024-11979876,09487734923
2198,James Doepke,85350540,52547,Gold,1919-07-15,Richard,7128,896353302,11m625232,6018815011,024-99026996,09077344634
2199,Ardis Finch,98686948,68573,Osborne,2008-09-26,Richard,91678,1607247,09a812498,6735413882,084-00329347,09931870665
2200,James Padovano,54386660,898,Adams,1993-08-04,Esteban,61246,96,01u417411,0697400388,023-99474376,09372490594
2201,Randy Licudine,71998661,77800,Davis,2011-11-08,Marvin,24759,442690248,38c819611,5044365617,045-33173472,09624448696
2202,David Yates,80164388,13381,Timm,1975-09-04,Randy,88384,16,46i741968,5944359293,066-11198668,09458287207
2203,Inez Hinkle,57299908,37655,Runion,1901-12-11,Dennis,2249,80,43z079770,9214358497,066-99186334,09129538069
2204,Glenda Ramirez,37556462,27514,Gober,1987-08-20,Ricky,81768,96421416025,91i361438,7547548987,056-99839718,09663365161
2205,Melva Johnson,33855973,32349,Barrera,1984-03-17,Micheal,7375,8,38t728815,9507492154,058-11208269,09264075234
2206,Don Enriquez,97206902,31994,Garman,1942-10-04,Michael,91272,09788,69b977398,3993618549,081-22130967,09646498186
2207,Elizabeth Hollis,50578092,28292,Wooten,1947-01-20,Steven,50132,769,08z842088,0938254624,044-55820420,09654409579
2208,Jennifer Jenson,21673421,92308,Locke,1962-11-26,Patrick,47126,894241,31c118964,2353722589,044-88355851,09462602265
2209,Amelia Pham,61495766,12625,Murphy,1968-04-28,David,23754,7384620554,96i320444,4843242065,045-00608740,09377653028
2210,Harley Castro,40220682,69764,Chapman,2000-03-18,Douglass,82913,8940,91a301170,7462546738,087-44786018,09131100990
2211,Sandra Williams,95470337,69506,Johnson,2001-11-20,George,91773,66190728730,85w920368,4393016451,084-88589927,09273965439
2212,Elaine Peoples,17872636,38999,West,2012-10-05,Ramon,77940,152,20b507710,7180423969,038-55513787,09117917070
2213,Gary Perkins,80304337,66787,Sthilaire,1997-11-03,William,80251,55,41z860922,1099546278,056-66233680,09889803784
2214,Helen Macchiaroli,35913359,95040,Tolle,1905-02-03,Harold,35046,47,08m797611,0847366922,034-99500851,09271969711
2215,Dorothy Hamilton,30958467,37621,Byassee,1954-11-26,John,17276,59,16b371771,8218215408,066-99118885,09941562408
2216,Linda Schmitt,98587733,6609,Delucia,1976-01-18,Justin,37499,6,96x870141,7923825544,056-55858024,09462820541
2217,Aracely Bovee,79784195,79543,Rhodes,1919-09-16,James,10377,772144,23u346967,3685360640,021-88286030,09335437576
2218,Frank Buckley,20212389,73440,Odom,1923-05-12,Travis,4642,8380,85n886727,7539743181,034-55888863,09221557063
2219,Gail Rodriquez,71216759,43245,Bermudez,1951-04-13,Ira,69969,5495683562,68s267420,3271722177,038-33591750,09396089525
2220,Margaret Kemp,90736501,99364,Martinez,1919-09-05,Curtis,39478,250954595,27g051279,1020685291,034-22024433,09212946163
2221,Mary Overton,54260003,13145,Mitchell,1953-08-28,Brent,46505,6749,79y448359,4982528576,041-55319437,09637305003
2222,James Corr,79134940,10186,Farris,1916-07-01,Thomas,68859,2232357923,62c040494,8436317523,083-66521569,09329787128
2223,George Wilfong,91601359,15466,Gray,2006-07-18,Harry,25579,8990170712,83n523998,9214911260,066-55693146,09490881981
2224,Francis Sheets,80264869,47905,Rivera,1999-11-24,Jordan,42980,39,29p129907,8562004452,074-99533154,09918619168
2225,Helen Fortner,41982788,33821,Chary,1944-06-14,Gordon,43013,52,46i018142,6131157933,021-11645959,09091749664
2226,Brandi Fernandez,20750832,94589,Chaney,1912-10-06,Arthur,70731,31002908662,94m718887,6958304422,017-66035619,09420794059
2227,Steven Kerr,43321529,87266,Bailey,1908-02-23,Otto,16495,742720,57e637465,0033047327,041-22728632,09093722380
2228,Madonna Ruff,28928001,84237,Murray,1995-05-24,Richard,12700,32,97p061018,2442123600,024-77278547,09130589789
2229,Nona Thomas,24480501,91021,Asif,1941-03-12,Leroy,56624,545249223,34k958078,4031358239,081-66734514,09883500102
2230,James Ledue,99159014,33700,Taylor,2012-12-09,Cecil,39498,0,35q027710,0643987993,083-33596913,09228036793
2231,Lisa Martini,32994876,11406,Lafontaine,1952-10-17,Jerrod,73199,7,17e248015,5080061087,083-00435552,09774325131
2232,Penny Neubauer,27117250,78180,Ruiz,1987-01-11,Pedro,65480,0,61z717852,8995222673,074-88935475,09711532991
2233,Benjamin Mccaskill,96042581,74273,Miller,2005-11-25,William,45787,27,37o264051,9033878054,021-55917653,09579730960
2234,James Parrish,11243200,89987,Sanders,1960-06-12,Buster,38421,8,56s772429,4377795357,081-99054455,09373115501
2235,Ashley Teske,82977278,24559,Irving,1955-05-27,Randy,69558,226,70o637431,0547859960,025-44595835,09769495020
2236,Rita Vanvalkenburg,85738240,3532,Connelly,1909-01-07,Chris,19459,01798957673,56g431839,4028773727,087-88529126,09373617722
2237,Sharon Butts,99098629,68979,Sparaco,1973-11-06,Frederick,52872,5,11o290615,6999079259,045-22018222,09584634300
2238,Josephine Talbott,87626091,5835,Reinert,1952-10-23,Robert,30059,368,55x814270,9106575848,011-99748188,09892308548
2239,Loyd Shelton,38319792,58290,Nava,1911-01-28,David,46506,63257,19m785935,3136122546,077-88067189,09376461123
2240,Adele Mcginnis,41204940,48040,Palos,2014-11-12,Larry,23434,64913438526,89z771678,0005595046,083-22634620,09709906097
2241,Juan Flower,74516389,47960,Harper,1985-10-06,Carl,1675,72841707,35p459635,9706112091,028-88186911,09703879625
2242,John Aldridge,45150765,62127,Ross,1985-10-24,Don,48797,7813,87v416021,7391809739,077-22518823,09665652323
2243,Monte Clark,64828380,94771,Delucia,1977-09-03,Ernest,43798,892949,18d348279,6931183863,083-00635144,09942611820
2244,Constance Martin,72335054,23233,Walker,2022-11-22,Glenn,1729,874,37t099381,2196786923,017-22838036,09932259366
2245,Alejandra Neal,85902547,37243,Dols,1944-05-15,Jackie,8397,1678,51g882717,4206961252,024-66619981,09372238847
2246,Maria Hackney,97748115,88288,Stuer,2010-06-13,Jerry,53311,54590900,91y745131,4400511110,054-88498109,09150767398
2247,Marie Webb,14819253,72868,Davis,2022-06-01,Joshua,27445,66,26n634611,0418645402,045-44051425,09899073102
2248,Yolanda Lucas,76708295,17055,Woods,1935-08-13,Matthew,35933,457274174,56a738238,0144167426,013-77502651,09147599167
2249,Guillermo Cosentino,95462405,31071,Fretwell,1900-04-20,Jeffrey,49738,6621898,79s816759,5282801694,011-00400431,09936719978
2250,Rosie Burruss,22291273,4557,Huntsman,1968-07-16,Israel,91532,5,57n541621,1804269800,017-00904572,09743473375
2251,David Palmer,48117638,58030,Wenning,1992-09-18,Guillermo,63919,7,25y733443,0687305615,045-55419399,09534249719
2252,Mark Yadao,40067455,71284,Walker,1969-09-26,Stuart,27444,64434366931,74o173103,6411953555,044-55042547,09804554330
2253,Lori Burger,89897546,39684,Mosley,1977-08-23,Charles,40471,639,86k286318,6591961523,011-44713008,09674649411
2254,Scott Rodriguez,33720838,57553,Martino,1908-02-15,Eugene,22597,2,07f880113,2086015043,084-11445855,09247968653
2255,Reva Cornely,28433726,30158,Farrington,1918-07-19,Nathaniel,30124,84318571,50c603501,7581260599,087-44448970,09880778138
2256,Nicholas Allen,90160338,69026,Jones,1968-11-21,Nathan,25138,494457,49k660225,5861693600,045-44959972,09778407652
2257,Mike Opal,77898967,92894,Ralph,1961-05-11,Leonard,77756,5876,45o258137,2100162671,054-55167326,09881308557
2258,Sandra Duckett,34469809,50534,Huang,1918-01-17,Stephen,69523,13234261,02o670970,9699470850,044-88983657,09683758075
2259,Van Rodriguez,55159576,74951,Rozzi,2020-02-16,Dennis,51240,8375814362,08p833708,1644319209,087-55929494,09166786063
2260,Glenda Benchoff,70490952,37059,Scott,2006-09-04,David,77414,925414,70e793522,6063557635,077-33770757,09900893374
2261,Ronald Montgomery,16698961,39435,Craig,1969-09-18,Michel,8445,790800900,83e860635,1933779707,056-77885474,09614248364
2262,Gayle Ramey,68143517,28570,Noe,1980-01-16,Roy,17483,84645629,22q918251,1138973747,026-77652469,09427738477
2263,Maricela Russell,53213215,15170,Clarke,1903-11-16,John,69869,72002280863,15h639729,2236798969,038-77501220,09951117538
2264,Joseph Johnson,97261338,3817,Jenkins,1913-04-21,Anthony,53144,983716654,14v949261,7071313791,087-22329408,09957731615
2265,Michael Grice,24167033,82855,Morris,1979-11-11,Justin,26839,12,81t588072,3640205841,071-11084565,09174638421
2266,Lawanda Higgins,15498826,23469,Mckinney,2017-06-20,Greg,80611,3,26p052389,9038440542,011-11315974,09844798384
2267,Danny Bentley,97358311,43152,Smith,1951-01-06,Anthony,17677,7199,18h194696,6353259922,031-44846492,09949358257
2268,Shirley Deere,43584865,58902,Stall,1925-11-01,Richard,9005,1174925698,32o270039,6817459673,024-66583439,09335961180
2269,Ron Villarreal,53893570,41036,Allen,1934-07-24,Christopher,88674,84682045,09b261625,8274447350,061-88534338,09103618166
2270,Tamika Lavigne,53440022,52345,German,1929-08-02,Mark,62042,372406,95v455169,9616213628,081-33128185,09438709330
2271,Charity Chance,96020091,33444,Hoffmann,1921-06-03,Jaime,45850,6,66f139221,1240736580,024-44130205,09517751833
2272,James Edmond,89975063,3840,Farrell,1996-05-20,Alan,48400,44138,39l174683,0911245226,074-77546349,09216755065
2273,Roberta Peachey,19404426,86784,Negrete,1973-09-25,John,97399,75646340,90s789725,7858130348,054-11135185,09119882755
2274,Raymond Zanes,98292208,99375,Pitts,1909-06-07,Major,92656,81,21i856617,0109477535,051-00072603,09668889588
2275,Pamela Holstein,54684818,87127,Hall,2016-11-23,Robert,43704,2377219607,25b013820,0861584083,011-77211934,09162749507
2276,Bruce Thompson,78613252,68909,Serrano,2007-02-09,Dan,81369,8495606363,76x294621,9131328189,076-66974286,09479574888
2277,Abel Comerford,70634877,6965,Conners,1958-04-24,Korey,91373,2786,26y036671,0113913916,087-77091223,09134052587
2278,Tessie Brough,26994293,6916,Sanders,2020-08-23,Harry,77426,985808090,60d707864,8161490088,074-22797267,09769438865
2279,Kathy Tinsley,87089935,39516,Bender,1965-03-26,David,28950,9913806,87z401105,6443702770,025-11419379,09008413401
2280,Ray Lee,51439754,62379,Beasley,1964-07-02,Daniel,86421,430647,79p505208,9102267299,058-00151655,09559212757
2281,Donald Milton,86499939,21758,Russ,1921-02-25,Brian,94557,5264,71i726835,2624301944,066-77589512,09727099251
2282,Bruce Bos,69159038,61077,Mendoza,1937-03-06,David,9231,64011739,40k580859,9117860031,028-44641932,09772647381
2283,Grace Judge,79738592,6880,Smith,1979-07-13,Robert,2060,071907,72e251408,4763888764,011-77426898,09807085145
2284,Lorraine Chase,21254116,56602,Baker,1974-12-11,Justin,69497,71196801,55k064893,9586071180,084-55382589,09197860313
2285,Kelly Lekan,67992864,55959,Warrior,1911-09-28,William,99805,41,72z595422,8824769308,071-33309675,09875813263
2286,Robert Healy,27390417,38831,Rodriguez,2017-04-02,Keith,24010,32148359,37g781835,6002753039,031-22537757,09460032376
2287,Robert Benet,30784861,57532,Hankins,1927-06-06,Billy,35193,57,33h441543,0793262287,045-55616706,09334228888
2288,Wendy Boyd,48449356,15503,Jones,1963-11-24,Manuel,24135,92888,89w130508,2126118285,024-55159525,09504665457
2289,Carolyn Lemen,66227191,61116,Radigan,2015-01-08,Victor,96885,60024826497,44d810268,0451400437,087-44704185,09340022808
2290,William Nicholson,97998936,68601,Salinas,1947-04-12,John,76118,400,33u223821,0834995152,045-11258115,09115877756
2291,Inger Fuentes,29247140,32027,Erwin,1940-04-17,Doug,59232,8994149624,11d800440,3365607359,031-88666413,09889237424
2292,Anneliese Lobur,40366303,33641,Hurst,1952-01-28,Colin,54653,1814,57g930988,7496548465,034-55870182,09759394362
2293,Daniel Clemmer,89498132,83744,Perault,1948-05-03,Gary,4326,22531178939,39y157575,2031521882,041-22322751,09129622589
2294,Charles Greer,87654392,85335,Sarni,1997-09-05,William,49564,19699703365,35k283935,7262723887,083-66129345,09656952950
2295,Emma Ruiz,94609321,37508,Sweat,2011-02-19,Robert,50914,8075,00t593107,0079660067,071-77381269,09403459392
2296,Roselyn Jones,12966441,85140,Jacques,2014-06-14,Buford,71264,091222,27r849018,1935621303,024-66934355,09956541366
2297,Julie Oconnell,77916503,65608,Piccinini,1914-08-24,Corey,27573,63,10n723872,4396951109,077-11239787,09649142368
2298,Richard Welch,76307077,79569,Burton,1907-11-03,John,7252,82079,14b197778,7403367868,081-22920891,09808490596
2299,Michael Jones,77883639,30801,Dykstra,1921-02-01,William,18079,4,27t349012,4864662061,026-88692734,09693246854
2300,Michael Deoliveira,40449478,87942,Montiel,1994-06-10,Michael,77587,682631,98j421348,8157711173,024-33030419,09521937481
2301,Anna Burgin,96554042,69227,Lussier,2018-08-25,Edison,10750,282818128,60m970585,9007792161,061-55527201,09538466603
2302,Angelica Westphal,32827912,63270,Cullen,1918-07-19,Richard,83833,4502841,83o837526,2183105545,074-33117810,09277651413
2303,Marcus Velazquez,21308585,51805,Moore,1935-06-08,George,62425,48,55d753723,8548419489,061-88361643,09254852885
2304,Matthew Grollimund,54939512,77427,Brookhouse,1911-02-28,Arthur,66251,0947004,33d178402,2583088273,051-66913188,09798542721
2305,Grant Goad,26565075,19022,Kilman,1925-05-06,Steven,9239,0,30f897172,2491527063,066-00515727,09682162517
2306,Jamie Barney,46789443,7322,Lambrecht,1918-08-16,Adam,85996,77922022,34u260037,5754253338,034-33841841,09846187129
2307,Manuel Franklin,92703915,81682,Schwartz,1961-10-08,Terry,90739,513,76e726762,1960477260,061-33176004,09800100843
2308,Michael Sutton,11832555,519,Ali,1954-05-10,George,41392,28459,16t928378,8220511855,017-44796432,09608908240
2309,Benjamin Pettit,25823804,42353,Lahay,2000-02-01,Danny,68397,37035,31p892242,1897766934,026-55626165,09509793107
2310,Jessica Mcknight,37873898,78349,Meyers,1974-07-16,Lorenzo,12803,1189675509,13r659058,7463115049,038-77502292,09592937536
2311,Harold Washington,38242349,69449,Kruger,1997-03-10,Andrew,51747,969074656,10l715068,8571952245,028-55236219,09926796501
2312,David Zeno,11289026,16181,Freeman,1955-08-03,Jeremy,60741,88460543,85q788988,1002920847,038-22943379,09901071908
2313,Delia Garrett,38737106,21762,Overton,1906-03-07,Jerry,67956,2963885577,63j518491,3425018952,077-22921958,09777234525
2314,Jennifer Davis,36348017,51437,Mcphail,1949-02-12,Steve,33374,3247998589,52e810864,7485464535,087-66575229,09512094239
2315,Winifred Jaegers,56482722,11580,Dancy,1940-06-24,Harvey,73680,72451149367,17f744610,9487751248,061-22416653,09589072618
2316,Patricia Kapper,62098003,40876,Mazur,2010-02-12,Roger,87417,361079056,01m063533,3334834319,076-33557234,09080092877
2317,Julie Craine,17456219,77291,Lopez,2003-10-27,Craig,71967,05800,15b432617,7317556277,083-88391371,09679920321
2318,Thomas Juarez,56905261,62357,Geer,1949-12-28,David,50795,1946152,16r171577,7920334832,058-00638165,09120681544
2319,Monique Fischer,47982785,4959,Bryant,1919-07-26,Gregory,7034,88258,68b857884,6470616700,021-00303306,09113573109
2320,Ted Pinkerton,81916930,49900,Kinney,1968-12-04,George,33178,53412,32u152264,7483979675,071-99513831,09451475769
2321,Rikki Gutierrez,94869344,34614,Hong,1912-01-04,Kevin,84379,6463,61p199283,1194579297,011-66531567,09742252210
2322,John Flowers,98812773,58314,Moran,2012-11-07,Daniel,56610,5424459,77c691173,9962307380,025-55781424,09887027933
2323,Paul Le,64895620,39198,White,1979-09-17,Robert,45342,69,58s618948,7130655196,066-99678189,09397567379
2324,Quinn Grove,58731676,11583,Davis,2002-07-12,Thomas,47088,6012300,20k753457,3637689373,051-44766313,09462954590
2325,Matthew Creach,12352614,95245,Sheeley,1992-10-01,Jose,96740,2,25u383213,7686882539,083-22357001,09911850248
2326,Thomas Powell,47023956,48374,Dreyer,1957-07-08,Ernesto,54647,9574,98l913833,2661934661,087-11347562,09364519879
2327,Rhonda Cuellar,16959872,7254,Madden,1961-09-17,Clarence,31639,520,98g315376,2528866073,023-00039908,09337551317
2328,Marilyn Casale,56534753,50003,Stanley,1999-11-07,James,91925,44759683,58c927018,3472677404,013-22529507,09360108074
2329,Katherine Brown,39451707,19892,Hopper,1975-03-16,Ramon,15836,540,47b513117,6463569417,021-00375078,09493772165
2330,Albert Adelson,15129383,42266,Swaim,2004-01-17,Hubert,27567,5770,39c406509,1005804504,026-55443535,09757940864
2331,Etta Paker,51614498,59135,Rees,1916-12-25,Nicholas,94454,04811,55f175275,7658095564,028-11308284,09527445215
2332,John Wilson,49305569,2374,Moore,1915-01-07,Greg,82427,77,23n936325,9137834990,031-11233860,09520646404
2333,Theresa Lykes,32484379,32795,Bemis,1932-10-07,Samuel,69665,847378,35d322309,5239791189,087-55384796,09623758192
2334,Lyle Clark,26220043,54322,Pajtas,1965-08-25,Richard,38874,098,01z537047,7309130391,026-44758106,09444486048
2335,So Davis,42163131,58537,Conlon,1902-07-15,Tracy,66617,20,33a115093,2003202509,038-99161264,09176512049
2336,Krystyna Close,90074784,5854,Mizell,2000-08-11,Paul,36789,0919337677,19c747301,5458655066,026-66215274,09188520408
2337,Steven Henry,12854060,41099,Ortiz,1955-09-20,Douglas,94185,867194467,35q766897,3238561845,084-44642611,09002039309
2338,Ted Reyna,63322508,66160,White,2007-10-14,Kenneth,29713,5727,95m367309,2577782166,038-77757919,09314519558
2339,Charlene Donaldson,72465690,70930,Perkins,1941-10-24,Juan,29703,23399483548,42m100174,8442364769,084-00305970,09919007346
2340,Barbara Salinas,78933885,54371,Basden,1978-03-06,Bernard,60767,4995295337,33a611793,5714715152,041-00342583,09753681271
2341,Anna Williams,80519434,59580,Rens,1938-01-08,Robert,30007,23121381168,63l184455,3356036643,017-11874219,09330785850
2342,Felecia Roule,17140425,53347,Brown,1955-10-03,Michael,52389,63262058,07x220290,9243728681,025-33489199,09925360189
2343,Jacob Gorton,13996223,8502,Damon,1953-08-03,Edward,38084,9,87b238230,7218212239,084-22871711,09110189697
2344,James Shupe,75254357,41241,Torres,1932-08-20,Myles,59797,035,85s168066,4378696427,017-11544827,09364081802
2345,Vivian Hyatt,70177542,44915,Williams,1920-07-11,Calvin,20030,26960769193,35r226008,6847222066,066-77459216,09266499308
2346,Mikel Auten,59080233,20833,Gustason,2005-09-26,Dennis,16300,21081,74f595553,0766753428,074-33123724,09239706531
2347,Mae Cagle,27408831,82357,Yang,1991-04-12,James,79822,42516,73o703309,3805383975,021-99454629,09992103106
2348,Angie Miller,13747360,64548,Skinner,1943-09-08,Herman,34854,7,93l023842,0799989299,083-44822122,09153174707
2349,Wayne Fairfield,55542615,49392,Baskin,1907-02-15,James,90411,626,56b055960,8696876925,023-66020583,09473109373
2350,Carla Elder,47926299,94427,Mcgilvray,2018-06-06,Louis,91433,5643985961,94j639629,1369657282,087-77400408,09790837610
2351,Brenda Swisher,77307544,48972,Cruz,1992-06-01,Anthony,57499,7806917124,92g441122,1738137273,084-99902762,09295503668
2352,Joel Steen,20209416,30288,Sanez,1931-03-21,Stephen,5173,84547,50w713061,8964875848,024-88619772,09857923239
2353,Kyle Livingston,88104205,81818,Wood,1989-05-08,Jason,25002,0095648494,24g968457,6669789676,017-22941383,09211834133
2354,Donald Green,35191741,80434,Adamson,1999-10-01,Joel,26190,450519,99z334730,8215861059,054-33920800,09042074629
2355,Sigrid Ainsworth,78863335,4926,Pamintuan,1961-07-17,Sydney,26166,7394370,32d968521,0396360964,076-99368652,09967827850
2356,Alan Johnson,57151006,68506,Howard,1989-06-19,Michael,86978,151,39t606011,5637042061,044-11528428,09604657545
2357,Linda Freeman,70099160,46774,Gagne,1915-11-13,Matthew,41538,99,84y548228,2076146739,074-55753708,09156581762
2358,Glen Tilghman,75448707,54361,Dunham,1934-09-03,Timothy,79099,8097,08y343948,2443937719,054-99200060,09639460823
2359,John Scarbrough,86772411,36512,Martis,1931-02-16,Manuel,46203,673,05t371218,3257625660,024-77031183,09341144462
2360,Joan Burt,22729677,64128,Wagner,2020-11-18,James,20434,5493,49v896880,2805689835,026-88474116,09095634521
2361,Edward Koller,23769469,77138,Crane,1901-05-09,Quentin,3784,94,28v262684,9984061291,021-99555125,09003934469
2362,Dorothy Yarberry,61772015,63069,Mason,1987-07-24,Dale,83694,162,44a903655,0986593095,013-55316684,09189534761
2363,Mary Littlejohn,93492240,29690,Campos,1946-01-04,Anthony,5864,5477495,15u815939,5110697925,024-55482627,09508766144
2364,Roy Archie,63371162,19768,Molina,1940-11-23,Johnny,26772,425,86x370112,4954548770,023-55652261,09701676185
2365,Deanna Nelsen,10937890,91100,Williams,1932-04-04,Samuel,86927,8694,96u799932,5482151090,081-00197068,09066523074
2366,Rhonda Kelley,10145045,93542,Salmons,1911-04-11,William,74727,706652,53f912725,8632716726,086-33702550,09162419012
2367,Helen Goldman,39582503,75389,Teter,1924-03-12,Thomas,74517,9800805915,74j854503,0046418560,066-00967194,09517059494
2368,Jean Kieffer,64491827,74099,Erling,1974-08-25,Tyrell,85111,88034265354,32k170241,3574018086,031-99920106,09083830835
2369,Kathleen Wahlman,86283411,50832,Luckey,1988-03-18,George,47620,94161,84w318029,2860960135,017-22987428,09280706813
2370,Rudolph Rodriquez,14916805,4572,Elliott,1998-02-03,Daniel,24116,364738496,85q187393,2578072726,026-00179989,09086855468
2371,Bryan Cuchares,84987759,18984,Elliot,1915-01-20,Kent,73495,78,43k532055,1323729631,011-77254065,09456273515
2372,George Garwood,54995544,22847,Carpenter,2006-06-21,Jared,14768,90250553,82n965278,1942807317,034-44941331,09924365119
2373,Joseph Zirin,23240861,13425,Corso,1916-11-15,Robert,48295,92,05j630836,3508550740,028-33518333,09086379735
2374,Eugene Medina,73280457,99345,Hale,1927-08-25,Bobby,44829,723,72n228095,9394602682,077-99251727,09886655036
2375,Anita Ward,28018424,73484,Dixon,1924-12-28,Brian,85882,3817494428,06j910397,2269161422,056-88390547,09822641438
2376,Willie Ferrero,87394778,1741,Bachleda,1992-01-24,Terry,25142,82243781916,42u526790,1332817114,017-22400409,09219122336
2377,William Hicks,24281943,78040,Bell,1957-08-23,Jerry,68621,0583512131,90y829804,5624215028,086-77152243,09003958483
2378,Herman Perrone,26600773,69831,Clarke,1944-08-28,Jon,11015,3761231808,18c758865,1844561640,084-99631104,09755002689
2379,Mattie Radden,96592748,12441,Pollock,1949-05-07,Robert,99416,011,20b780103,4834923717,031-33131409,09706278285
2380,Carol Cull,86596062,33400,Morris,1937-12-15,Florencio,67177,495,31p996147,2995380053,076-99461772,09990147808
2381,Michael Jones,50781447,29532,Corbin,1923-02-06,Adam,4074,49868000,26p464144,0913353787,086-22452757,09225857724
2382,Amanda Boling,52012909,44290,Fontanez,1971-11-09,Lester,80690,33269953,29g408482,3061312324,084-88137362,09666819323
2383,Richard Jolly,13820605,34456,Beck,1908-10-23,James,88347,43271069,78y128034,3643368819,051-99767836,09312067095
2384,Elizabeth Doane,10888041,73399,Robinson,1974-05-26,Eric,85575,06,49f235947,2708952794,041-77034506,09029367890
2385,Marjorie Brown,66063398,58700,Jeffords,1985-08-24,John,13722,1435024,06i582918,1186434947,045-66143368,09557116422
